Date,Hour,Toronto,weekday
2003-06-06,1,4487,1
2003-06-06,2,4330,1
2003-06-06,3,4264,1
2003-06-06,4,4283,1
2003-06-06,5,4413,1
2003-06-06,6,4814,1
2003-06-06,7,5484,1
2003-06-06,8,5932,1
2003-06-06,9,6219,1
2003-06-06,10,6420,1
2003-06-06,11,6507,1
2003-06-06,12,6504,1
2003-06-06,13,6516,1
2003-06-06,14,6473,1
2003-06-06,15,6436,1
2003-06-06,16,6392,1
2003-06-06,17,6282,1
2003-06-06,18,6084,1
2003-06-06,19,5919,1
2003-06-06,20,5955,1
2003-06-06,21,5978,1
2003-06-06,22,5625,1
2003-06-06,23,5115,1
2003-06-06,24,4695,1
2003-06-07,1,4430,0
2003-06-07,2,4256,0
2003-06-07,3,4139,0
2003-06-07,4,4091,0
2003-06-07,5,4111,0
2003-06-07,6,4189,0
2003-06-07,7,4447,0
2003-06-07,8,4786,0
2003-06-07,9,5140,0
2003-06-07,10,5347,0
2003-06-07,11,5449,0
2003-06-07,12,5453,0
2003-06-07,13,5423,0
2003-06-07,14,5346,0
2003-06-07,15,5301,0
2003-06-07,16,5343,0
2003-06-07,17,5324,0
2003-06-07,18,5196,0
2003-06-07,19,5092,0
2003-06-07,20,5081,0
2003-06-07,21,5184,0
2003-06-07,22,5037,0
2003-06-07,23,4704,0
2003-06-07,24,4391,0
2003-06-08,1,4167,0
2003-06-08,2,3985,0
2003-06-08,3,3886,0
2003-06-08,4,3832,0
2003-06-08,5,3814,0
2003-06-08,6,3799,0
2003-06-08,7,3956,0
2003-06-08,8,4227,0
2003-06-08,9,4538,0
2003-06-08,10,4828,0
2003-06-08,11,5018,0
2003-06-08,12,5119,0
2003-06-08,13,5163,0
2003-06-08,14,5149,0
2003-06-08,15,5157,0
2003-06-08,16,5240,0
2003-06-08,17,5298,0
2003-06-08,18,5273,0
2003-06-08,19,5405,0
2003-06-08,20,5408,0
2003-06-08,21,5359,0
2003-06-08,22,5086,0
2003-06-08,23,4685,0
2003-06-08,24,4358,0
2003-06-09,1,4148,1
2003-06-09,2,4044,1
2003-06-09,3,4001,1
2003-06-09,4,4018,1
2003-06-09,5,4183,1
2003-06-09,6,4622,1
2003-06-09,7,5362,1
2003-06-09,8,5814,1
2003-06-09,9,6084,1
2003-06-09,10,6272,1
2003-06-09,11,6392,1
2003-06-09,12,6405,1
2003-06-09,13,6448,1
2003-06-09,14,6432,1
2003-06-09,15,6417,1
2003-06-09,16,6426,1
2003-06-09,17,6386,1
2003-06-09,18,6218,1
2003-06-09,19,5950,1
2003-06-09,20,5882,1
2003-06-09,21,5921,1
2003-06-09,22,5578,1
2003-06-09,23,5020,1
2003-06-09,24,4578,1
2003-06-10,1,4326,1
2003-06-10,2,4179,1
2003-06-10,3,4104,1
2003-06-10,4,4119,1
2003-06-10,5,4228,1
2003-06-10,6,4671,1
2003-06-10,7,5387,1
2003-06-10,8,5846,1
2003-06-10,9,6027,1
2003-06-10,10,6216,1
2003-06-10,11,6361,1
2003-06-10,12,6368,1
2003-06-10,13,6405,1
2003-06-10,14,6374,1
2003-06-10,15,6319,1
2003-06-10,16,6337,1
2003-06-10,17,6237,1
2003-06-10,18,6053,1
2003-06-10,19,5957,1
2003-06-10,20,5993,1
2003-06-10,21,5914,1
2003-06-10,22,5480,1
2003-06-10,23,4925,1
2003-06-10,24,4551,1
2003-06-11,1,4325,1
2003-06-11,2,4165,1
2003-06-11,3,4092,1
2003-06-11,4,4096,1
2003-06-11,5,4258,1
2003-06-11,6,4710,1
2003-06-11,7,5462,1
2003-06-11,8,5965,1
2003-06-11,9,6261,1
2003-06-11,10,6517,1
